"","tmt.tree.id","tmt.obs.id","database.code","tree.id","tmt.plot.id","plot.id","tmt.census.id","census.id","census.date","census.n","species.id","tmt.species.id","func.type","subplot.id","tree.coord.x","tree.coord.y","azimuth","dist.centre","d","pom","height","agb","ba","n.plot","g.plot","n.ha","tree.status","mode.death","mode.death.other","canopy.position","liana.infe","multistem","qc.pom.change","qc.repeat.dead","qc.backlife","qc.missing.d","species.cor","genus.cor","family.cor","biomass","biomass.plot","biomass.ha","ba.ha"
"24","UKR.1.10039","UKR.1.10039.1","UKR",10039,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,851.895780589456,235.441875778115,NA,NA,776,130,44.2577142464223,NA,472708.16,1,472708.16,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.84186603195899,4.84186603195899,0.484186603195899,47270.816
"25","UKR.1.1004","UKR.1.1004.1","UKR",1004,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,907.832377883672,115.646550443709,NA,NA,209.5,130,21.2712249941207,NA,34453.84625,1,34453.84625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.217222810092251,0.217222810092251,0.0217222810092251,3445.384625
"26","UKR.1.10040","UKR.1.10040.1","UKR",10040,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,842.283156374668,227.098557545385,NA,NA,720,130,41.5,NA,406944,1,406944,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.05414230208852,4.05414230208852,0.405414230208852,40694.4
"27","UKR.1.10041","UKR.1.10041.1","UKR",10041,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,820.9341639199,230.879812351489,NA,NA,784,130,44.3730037481421,NA,482504.96,1,482504.96,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.96103431136818,4.96103431136818,0.496103431136818,48250.496
"28","UKR.1.10042","UKR.1.10042.1","UKR",10042,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,826.221867139618,227.978840127254,NA,NA,652.5,130,42.0299672997508,NA,334218.65625,1,334218.65625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.21034084084113,3.21034084084113,0.321034084084113,33421.865625
"29","UKR.1.10043","UKR.1.10043.1","UKR",10043,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,827.505516959355,220.238963959912,NA,NA,650.5,130,45,NA,332172.94625,1,332172.94625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.18706282073497,3.18706282073497,0.318706282073497,33217.294625
"30","UKR.1.10044","UKR.1.10044.1","UKR",10044,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,830.556790849591,220.379025666311,NA,NA,580,130,40.2378266298419,NA,264074,1,264074,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.42822526797523,2.42822526797523,0.242822526797523,26407.4
"31","UKR.1.1005","UKR.1.1005.1","UKR",1005,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,901.686371172224,112.785171260657,NA,NA,110,130,11.9927666330542,NA,9498.5,1,9498.5,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0471663285577286,0.0471663285577286,0.00471663285577286,949.85
"32","UKR.1.10052","UKR.1.10052.1","UKR",10052,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,10,819.152699529236,221.291872002899,NA,NA,137,130,12,NA,14733.665,1,14733.665,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0793626843693167,0.0793626843693167,0.00793626843693167,1473.3665
"33","UKR.1.1006","UKR.1.1006.1","UKR",1006,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,893.709919425461,115.839745493353,NA,NA,455.5,130,32.5,NA,162871.99625,1,162871.99625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.36936470304248,1.36936470304248,0.136936470304248,16287.199625
"34","UKR.1.1009","UKR.1.1009.1","UKR",1009,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,899.225713340639,125.275529009717,NA,NA,779,130,44.3013089331047,NA,476370.185,1,476370.185,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.88635785581972,4.88635785581972,0.488635785581972,47637.0185
"35","UKR.1.1010","UKR.1.1010.1","UKR",1010,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,886.702588203875,130.168362057016,NA,NA,621.5,130,41.3145704170756,NA,303215.86625,1,303215.86625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.86047477520935,2.86047477520935,0.286047477520935,30321.586625
"36","UKR.1.1011","UKR.1.1011.1","UKR",1011,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,888.13442982349,128.182819135584,NA,NA,334.5,130,30.0434431275821,NA,87833.84625,1,87833.84625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.658627741881164,0.658627741881164,0.0658627741881164,8783.384625
"37","UKR.1.1012","UKR.1.1012.1","UKR",1012,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,881.483992407678,126.155699520498,NA,NA,668,130,42.3615565975374,NA,350285.84,1,350285.84,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.39407671628533,3.39407671628533,0.339407671628533,35028.584
"38","UKR.1.1013","UKR.1.1013.1","UKR",1013,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,884.751711666036,126.086563592924,NA,NA,484,130,37.1302786039641,NA,183890.96,1,183890.96,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.58125163223228,1.58125163223228,0.158125163223228,18389.096
"39","UKR.1.1014","UKR.1.1014.1","UKR",1014,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,886.947923341925,121.915836453238,NA,NA,736,130,43.6328873571083,NA,425231.36,1,425231.36,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.27097588374621,4.27097588374621,0.427097588374621,42523.136
"40","UKR.1.1015","UKR.1.1015.1","UKR",1015,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,881.357925384105,121.977681924959,NA,NA,384.5,130,32.7730002555179,NA,116054.59625,1,116054.59625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.916350974232129,0.916350974232129,0.0916350974232129,11605.459625
"41","UKR.1.1016","UKR.1.1016.1","UKR",1016,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,883.695515673199,117.262248194176,NA,NA,586.5,130,40.4160731118006,NA,270026.06625,1,270026.06625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.49323222956147,2.49323222956147,0.249323222956147,27002.606625
"42","UKR.1.1018","UKR.1.1018.1","UKR",1018,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,880.331143641595,110.246094256287,NA,NA,419,130,34.4344804961399,NA,137815.385,1,137815.385,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.12338115795813,1.12338115795813,0.112338115795813,13781.5385
"43","UKR.1.1019","UKR.1.1019.1","UKR",1019,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,876.874239357872,119.083682408526,NA,NA,509,130,38.0316919972793,NA,203378.585,1,203378.585,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.78177043056651,1.78177043056651,0.178177043056651,20337.8585
"44","UKR.1.1020","UKR.1.1020.1","UKR",1020,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,876.581454487842,115.648891528504,NA,NA,405.5,130,33.8046850864259,NA,129077.74625,1,129077.74625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.03946459565615,1.03946459565615,0.103946459565615,12907.774625
"45","UKR.1.1021","UKR.1.1021.1","UKR",1021,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,868.71289843094,124.473435089422,NA,NA,475,130,36.7882772358889,NA,177115.625,1,177115.625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.51243404039691,1.51243404039691,0.151243404039691,17711.5625
"46","UKR.1.1022","UKR.1.1022.1","UKR",1022,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,870.140418152856,130.079759983563,NA,NA,387.5,130,32.9243625478615,NA,117872.65625,1,117872.65625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.933390724372884,0.933390724372884,0.0933390724372884,11787.265625
"47","UKR.1.1023","UKR.1.1023.1","UKR",1023,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,873.072858988235,141.420512074929,NA,NA,430.5,130,34.9511250699617,NA,145484.24625,1,145484.24625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.19785247794764,1.19785247794764,0.119785247794764,14548.424625
"48","UKR.1.1024","UKR.1.1024.1","UKR",1024,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,878.111911466624,137.615175364416,NA,NA,231.5,130,25.5,NA,42069.91625,1,42069.91625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.275239754679179,0.275239754679179,0.0275239754679179,4206.991625
"49","UKR.1.1025","UKR.1.1025.1","UKR",1025,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,880.515512590298,138.463501761429,NA,NA,176.5,130,18.4298435351395,NA,24454.51625,1,24454.51625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.144690354727689,0.144690354727689,0.0144690354727689,2445.451625
"50","UKR.1.1026","UKR.1.1026.1","UKR",1026,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,886.353746975203,142.903040230543,NA,NA,988,130,38,NA,766273.04,1,766273.04,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",8.58375642237118,8.58375642237118,0.858375642237118,76627.304
"51","UKR.1.1028","UKR.1.1028.1","UKR",1028,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,893.22642093883,142.915504464335,NA,NA,119.5,130,11.8,NA,11209.99625,1,11209.99625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0574004013136476,0.0574004013136476,0.00574004013136476,1120.999625
"52","UKR.1.1030","UKR.1.1030.1","UKR",1030,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,892.38834259061,136.988244747202,NA,NA,478,130,36.9033360105884,NA,179359.94,1,179359.94,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.53517660772997,1.53517660772997,0.153517660772997,17935.994
"53","UKR.1.1031","UKR.1.1031.1","UKR",1031,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,894.763514011935,131.60095229438,NA,NA,557,130,39.5766264353971,NA,243545.465,1,243545.465,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.20612897273501,2.20612897273501,0.220612897273501,24354.5465
"54","UKR.1.1039","UKR.1.1039.1","UKR",1039,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,915.593426686584,129.676089144545,NA,NA,260,130,25.1785084229386,NA,53066,1,53066,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.362445232216589,0.362445232216589,0.0362445232216589,5306.6
"55","UKR.1.1040","UKR.1.1040.1","UKR",1040,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,918.135904725649,134.449532415908,NA,NA,645.5,130,41.8746493221315,NA,327086.14625,1,327086.14625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.12929578173842,3.12929578173842,0.312929578173842,32708.614625
"56","UKR.1.1041","UKR.1.1041.1","UKR",1041,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,915.277495465372,135.200848332666,NA,NA,709.5,130,43.1709337107222,NA,395161.34625,1,395161.34625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",3.9153837266618,3.9153837266618,0.39153837266618,39516.134625
"57","UKR.1.1042","UKR.1.1042.1","UKR",1042,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,908.009934098305,137.16771967005,NA,NA,305.5,130,25,NA,73264.24625,1,73264.24625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.53121968231753,0.53121968231753,0.053121968231753,7326.424625
"58","UKR.1.1043","UKR.1.1043.1","UKR",1043,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,905.137633547895,139.763865578812,NA,NA,259,130,25.1061280219649,NA,52658.585,1,52658.585,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.359149274301784,0.359149274301784,0.0359149274301784,5265.8585
"59","UKR.1.1044","UKR.1.1044.1","UKR",1044,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,905.288069933065,140.480129048758,NA,NA,769,130,39.5,NA,464218.385,1,464218.385,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",4.73896557222411,4.73896557222411,0.473896557222411,46421.8385
"60","UKR.1.1046","UKR.1.1046.1","UKR",1046,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,903.138072662102,147.074072301452,NA,NA,425.5,130,34.7287024338912,NA,142124.44625,1,142124.44625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.16513401138415,1.16513401138415,0.116513401138415,14212.444625
"61","UKR.1.1047","UKR.1.1047.1","UKR",1047,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,912.170478599198,141.890708258577,NA,NA,506.5,130,37.9446743030047,NA,201385.66625,1,201385.66625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.7610943183309,1.7610943183309,0.17610943183309,20138.566625
"62","UKR.1.1048","UKR.1.1048.1","UKR",1048,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,918.182155417461,150.941392236747,NA,NA,458.5,130,36.1360946260489,NA,165024.46625,1,165024.46625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.39084140781535,1.39084140781535,0.139084140781535,16502.446625
"63","UKR.1.1050","UKR.1.1050.1","UKR",1050,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,909.312830187174,155.986004309968,NA,NA,587.5,130,34.5,NA,270947.65625,1,270947.65625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",2.50332151155872,2.50332151155872,0.250332151155872,27094.765625
"64","UKR.1.1051","UKR.1.1051.1","UKR",1051,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,911.704848199411,150.587397703814,NA,NA,510.5,130,38.0835775266097,NA,204579.04625,1,204579.04625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.79424311736023,1.79424311736023,0.179424311736023,20457.904625
"65","UKR.1.1052","UKR.1.1052.1","UKR",1052,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,907.811023225538,151.456316209603,NA,NA,497,130,37.6077525055988,NA,193902.065,1,193902.065,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",1.68379427141184,1.68379427141184,0.168379427141184,19390.2065
"66","UKR.1.1054","UKR.1.1054.1","UKR",1054,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,900.398566089642,151.606732660734,NA,NA,339.5,130,30.3346354737131,NA,90479.29625,1,90479.29625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.682205712511098,0.682205712511098,0.0682205712511098,9047.929625
"67","UKR.1.1055","UKR.1.1055.1","UKR",1055,"UKR.1",1,"UKR.1.1",1.1,2000,1,1,"UKR.1",NA,1,900.167232671472,151.565502706015,NA,NA,145,130,15.4985260833414,NA,16504.625,1,16504.625,0.1,0,NA,NA,NA,NA,NA,0,0,0,0,"Fagus sylvatica","Fagus","Fagaceae",0.0907915767866063,0.0907915767866063,0.00907915767866063,1650.4625
